"Name","Subscription Name","Amount","Account #","Contract #","Start Date","End Date","BIOS Vendor","BIOS Version","BIOS Release Date","System Manufacturer","System Product Name","Serial Number","UUID","Chassis Manufacturer","Type","Chassis Serial #","Chassis Product Name"
"auth01.example.com","Red Hat Satellite","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2011","Red Hat","KVM","Not Specified","872F0376-40CC-49DC-AA8C-18BA3082879A","NA","Other","NA","NA"
"auth02.example.com","Red Hat Satellite","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2011","Red Hat","KVM","Not Specified","7122C51A-88D0-467F-A209-415CE40CEB2E","NA","Other","NA","NA"
"capsule-1.example.com","Red Hat Satellite","1","1234567","10701773","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","5519D72F-E7E5-4922-A003-5E601EB92B29","NA","Other","NA","NA"
"devnode-102.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","E599BB11-9A9B-4D18-ABDC-0D1A432CB786","NA","Other","NA","NA"
"devnode-102.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","E599BB11-9A9B-4D18-ABDC-0D1A432CB786","NA","Other","NA","NA"
"devnode-103.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","96891EA1-CCC2-4FF2-A30B-1AA4D03731A6","NA","Other","NA","NA"
"devnode-103.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","96891EA1-CCC2-4FF2-A30B-1AA4D03731A6","NA","Other","NA","NA"
"devnode-104.example.com","Resilient Storage","1","1234567","10010110","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","996E5B0D-5F22-47E1-8624-BFD57BF86C20","NA","Other","NA","NA"
"devnode-104.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","996E5B0D-5F22-47E1-8624-BFD57BF86C20","NA","Other","NA","NA"
"devnode-105.example.com","Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)","1","1234567","10701774","2015-08-05","2016-08-05","Seabios","0.5.1","01/01/2007","Red Hat","RHEV Hypervisor","44b70928-2c41-4e85-b99f-8b3b031c14a8","2F8BA9FB-1AFB-4916-B27F-3AAC1A6E9EF1","NA","Other","NA","NA"
